,0,1
62,2020-01-09 23:41:59+00:00,Everytime I want to talk to someone they're either • stuck on a ex • attached to somebody • confused • don't know what they want • on games 
63,2020-01-08 20:49:17+00:00,"Don't call me ""bae"" ""babe"" ""baby"" or ""love"" unless I'm the only one being called that "
64,2020-01-08 20:46:05+00:00,Every girl Has five Different personalities :(+* ++*!+** 1 . How she Acts in school 2 . How she acts around her friends 3 . How she acts around her Family 4 .How she acts when she’s with him http://5.How she acts when she’s alone
65,2020-01-08 20:40:13+00:00,What most girls like to be called Princess Babygirl Mami Baby 
66,2020-01-08 20:39:52+00:00,"Find the beautiful face You couldn't find it, right? It's bc the beautiful face is reading this now."
67,2020-01-04 23:12:08+00:00,"Cause you never think that the last time is the last time. You think there will be more. You think you have forever, but you don’t."
68,2020-01-04 23:11:37+00:00,people be so quick to leave. Like damn what if you all I got 
69,2020-01-04 23:11:06+00:00,"I’ll give you the world while mine is falling apart, don’t speak about loyalty to me."
70,2020-01-04 01:59:16+00:00,I Fucked up already 2021 my year Fosho
71,2020-01-03 23:42:16+00:00,He saw you. He met you. He wanted you. He liked you. He chased you. He got you. He had you. He got bored of you. He left you. He broke you.
72,2020-01-03 23:41:17+00:00,Stop chasing after people & being the only one trying to fix everything. It’s mentally & physically exhausting. You have to find peace with whoever comes & goes from your life. Don’t be the only one putting in effort Bc you will end up losing yourself trying to save everyone else
73,2020-01-03 23:40:54+00:00,"don't care about losing people who don't wanna be in my life anymore, I've lost people who meant the world to me and I'm doing just fine."
74,2020-01-02 22:02:14+00:00,it's been a while since i seen your name on my phone. my phone don't ring since you left me.
75,2020-01-02 22:01:55+00:00,Don’t push me away and then wonder where I went .
76,2020-01-01 22:30:52+00:00,got a bad habit of treating people better than they treat me...
77,2020-01-01 22:22:26+00:00,You think I give a fuck? I already lost my mind & my heart a long time ago.
78,2020-01-01 22:17:08+00:00,fun fact ; I’m insecure no matter how many people tell me I’m pretty.
79,2020-01-01 22:15:33+00:00,my mom once said “going back to an old relationship is like rewatching a movie and expecting a different ending to happen.” I felt that.
80,2020-01-01 22:09:27+00:00,I’m missing You Crazy Rn 
81,2019-12-31 21:46:10+00:00,"I want to go into, 2020 with YOU "
82,2019-12-31 21:27:15+00:00,I get jealous because I’m afraid someone will make you happier than I do...
83,2019-12-30 20:52:17+00:00,"When I think about love, I just see my heart getting broken, but yet I still go for love... "
84,2019-12-30 20:51:53+00:00,Bae: Did you love him? Me: Yes. Bae: How much? Me: Does it matter? Bae: Why does it not? Me: Because it wasn’t enough to make him stay.
85,2019-12-29 21:49:57+00:00,I’m the happiest depressed person you’ll ever meet.
86,2019-12-29 21:49:09+00:00,"we may not be speaking, but I hope you know you can still call me if you ever need anything because I told you I love you and I meant it."
87,2019-12-28 20:21:08+00:00,Damn this year held some of the happiest & saddest moments I’ve ever experienced.
88,2019-12-28 20:16:12+00:00,You think I give a fuck? I already lost my mind & my heart a long time ago.
89,2019-12-27 21:27:34+00:00,Y’all be hurting the girls that really be down for you & that’s the sad part ...
90,2019-12-27 21:18:50+00:00,today my teacher said to my class “you don’t truly love someone until they’ve hurt you and you still think of them as the greatest person in the world. Love is the most violent act.”
91,2019-12-27 21:17:41+00:00,Today my mom told me “if your absence doesn’t bother them then your presence never mattered to them in the first place” and I felt that.
92,2019-12-27 19:39:52+00:00,"If it wasn’t for you, I wouldn’t be here smiling ... I love you "
93,2019-12-26 22:42:26+00:00,you know what’s depressing? starting the same sentence over and over cause no one is listening and then just dropping it because obviously it doesn’t matter.
94,2019-12-26 22:42:11+00:00,"Ever since I’ve meet you, you’ve been on my mind 24/7 "
95,2019-12-26 18:39:17+00:00,"I don’t get it. You said im important to you, but you still make me feel that I’m not worth your time."
96,2019-12-26 18:35:48+00:00,2017: changed me 2018: broke me 2019: opened my eyes 2020: I’m coming back
97,2019-12-25 18:39:29+00:00,hey fuck your late replies just leave me alone at this point
98,2019-12-25 18:22:34+00:00,"I said I’m over you, but every time my phone vibrates, my heart still wishes it’s a text from you..."
99,2019-12-24 21:20:11+00:00,"Like if you see your birthday month January , February , March ,April ,May ,June July ,August , September ,October , November , December , Comment y’all month "
100,2019-12-24 21:09:10+00:00,1 month left & 2019 has taught me that anyone can switch up on you no matter what the bond or the history you have with that person
101,2019-12-24 20:23:16+00:00,"It sucks because , For a minute I was happy , For a minute I was getting better For a minute I had hope But in a minute I lost it all again"
102,2018-07-09 01:20:52+00:00,"been cheated on.. lied to.. left for someone else.. dropped with no explanation, and i'm still trying to love like Ive never been hurt."
103,2018-07-09 01:20:35+00:00,I just want what I deserve because I done put up with everything I didn’t deserve.
104,2018-07-09 01:20:17+00:00,Comment if you’re: - depressed - have a fear of spiders - pregnant - happy - on your period - obsessed with music - broke
105,2018-07-04 01:23:29+00:00,Unfortunately I’m the type of person you can screw over a million times and I’d still be there if you needed me.
106,2018-07-04 01:22:37+00:00,"""you look mean"" ""you look tired"" ""you look mad"" or maybe i look like im minding my business"
107,2018-07-04 01:22:18+00:00,Emotionally: I’m done Mentally: I’m drained Spiritually: I’m dead Physically: I smile
108,2018-07-03 00:32:58+00:00,remember you are never a bad person for loving the wrong person the right way.
109,2018-07-03 00:31:21+00:00,"everyone tells you that you deserve better, but no one is willing to give it to you "
110,2018-07-03 00:24:51+00:00,"Truth is, I miss you. All the time. Every second. Every minute. Every hour. Everyday. "
111,2018-06-29 23:49:16+00:00,Relationships include: Jealousy Fights Disagreements Tears Faith But a real relationship goes through all that with love. 
112,2018-06-29 23:48:24+00:00,Do you ever feel the need to ask someone if they actually still want you in their life because it always feels like they don’t care.
113,2018-06-29 23:47:42+00:00,Stop chasing after people & being the only one trying to fix everything. It’s mentally & physically exhausting. You have to find peace with whoever comes & goes from your life. Don’t be the only one putting in effort Bc you will end up losing yourself trying to save everyone else
114,2018-06-29 19:54:51+00:00,Dropped a singing song y’all go like it or follow my SoundCloud if u haven’t yet https://soundcloud.com/user-lilscars/spaceship-yung-pluto-ft-lil-scars
115,2018-06-27 23:58:52+00:00,No one notices your tears No one notices your pains No one notices your sadness But they always notice your mistakes.
116,2018-06-27 23:58:14+00:00,He saw you. He met you. He wanted you. He liked you. He chased you. He got you. He had you. He got bored of you. He left you. He broke you.
117,2018-06-27 23:57:54+00:00,Don’t act like you’re scared to lose me but move like I don’t mean shit to you.
118,2018-06-26 19:05:50+00:00,"It's funny how we feel so much but we don't say a word, we're screaming inside but we can't be heard"
119,2018-06-26 19:02:43+00:00,"If we’re in a relationship, your clothes are basically mine too. Don’t ask why I have your shirt on, this is our shirt."
120,2018-06-26 19:02:05+00:00,"You ever just FaceTime someone and leave them on while y’all both do other things, bc having their company’s feels nice."
121,2018-06-26 01:22:59+00:00,That awful feeling when you can feel someone starting to care less and less about you and there’s nothing you can do about it.
122,2018-06-26 00:53:00+00:00,How embarrassing is it when you talk so highly about someone who ends up disappointing you.
123,2018-06-26 00:52:33+00:00,Like If You Miss Someone
124,2018-06-26 00:51:39+00:00,"sure I can delete your photos, your texts, your number, but how do I delete your face, your voice, and our memories?"
